#K-Path      Energy-Level
# NKPTS & NBANDS:  12 136
# Band-Index    1
   0.35990     -9.089242
   0.27928     -9.198104
   0.27928     -9.198104
   0.18619     -8.976800
   0.09309     -9.273026
   0.00000     -9.213963
 
 
# Band-Index   53
   0.00000     -9.110060
   0.09309     -8.963005
   0.18619     -8.952781
   0.27928     -8.996738
   0.27928     -8.996738
   0.35990     -9.061859
   0.44052     -9.076073
   0.44052     -9.076073
   0.52114     -8.866206
   0.60176     -8.940617
   0.68239     -8.963903
   0.76301     -9.110060
 
 
# Band-Index   54
   0.76301     -9.109857
   0.68239     -8.900240
   0.60176     -8.842655
   0.52114     -8.701646
   0.44052     -9.072701
   0.44052     -9.072701
   0.35990     -8.800636
   0.27928     -8.666804
   0.27928     -8.666804
   0.18619     -8.736010
   0.09309     -8.851012
   0.00000     -9.109857
 
 
# Band-Index   55
   0.00000     -9.020046
   0.09309     -8.788186
   0.18619     -8.671031
   0.27928     -8.436719
   0.27928     -8.436719
   0.35990     -8.509722
   0.44052     -8.381082
   0.44052     -8.381082
   0.52114     -8.601299
   0.60176     -8.663478
   0.68239     -8.830304
   0.76301     -9.020046
 
 
# Band-Index   56
   0.76301     -8.477391
   0.68239     -8.546239
   0.60176     -8.403422
   0.52114     -8.517051
   0.44052     -8.380225
   0.44052     -8.380225
   0.35990     -8.362539
   0.27928     -8.403032
   0.27928     -8.403032
   0.18619     -8.456538
   0.09309     -8.584909
   0.00000     -8.477391
 
 
# Band-Index   57
   0.00000     -8.360875
   0.09309     -8.446652
   0.18619     -8.355568
   0.27928     -8.351524
   0.27928     -8.351524
   0.35990     -8.219948
   0.44052     -8.160425
   0.44052     -8.160425
   0.52114     -8.273192
   0.60176     -8.385478
   0.68239     -8.454171
   0.76301     -8.360875
 
 
# Band-Index   58
   0.76301     -8.116478
   0.68239     -8.339859
   0.60176     -8.334293
   0.52114     -8.193482
   0.44052     -8.160413
   0.44052     -8.160413
   0.35990     -8.208406
   0.27928     -8.230418
   0.27928     -8.230418
   0.18619     -8.284627
   0.09309     -8.307825
   0.00000     -8.116478
 
 
# Band-Index   59
   0.00000     -8.115288
   0.09309     -8.168964
   0.18619     -8.030193
   0.27928     -8.206177
   0.27928     -8.206177
   0.35990     -8.181597
   0.44052     -8.085178
   0.44052     -8.085178
   0.52114     -8.014297
   0.60176     -8.025455
   0.68239     -8.107945
   0.76301     -8.115288
 
 
# Band-Index   60
   0.76301     -8.093215
   0.68239     -7.920290
   0.60176     -8.000345
   0.52114     -7.977390
   0.44052     -8.083166
   0.44052     -8.083166
   0.35990     -8.149800
   0.27928     -8.172445
   0.27928     -8.172445
   0.18619     -8.002637
   0.09309     -7.937640
   0.00000     -8.093215
 
 
# Band-Index   61
   0.00000     -7.774892
   0.09309     -7.732305
   0.18619     -7.989823
   0.27928     -7.805628
   0.27928     -7.805628
   0.35990     -7.907535
   0.44052     -8.019323
   0.44052     -8.019323
   0.52114     -7.908519
   0.60176     -7.857248
   0.68239     -7.801546
   0.76301     -7.774892
 
 
# Band-Index   62
   0.76301     -7.654614
   0.68239     -7.662492
   0.60176     -7.831579
   0.52114     -7.839510
   0.44052     -8.019007
   0.44052     -8.019007
   0.35990     -7.807276
   0.27928     -7.748363
   0.27928     -7.748363
   0.18619     -7.856687
   0.09309     -7.728815
   0.00000     -7.654614
 
 
# Band-Index   63
   0.00000     -7.653628
   0.09309     -7.614149
   0.18619     -7.733204
   0.27928     -7.716253
   0.27928     -7.716253
   0.35990     -7.616917
   0.44052     -7.569078
   0.44052     -7.569078
   0.52114     -7.828007
   0.60176     -7.785086
   0.68239     -7.661110
   0.76301     -7.653628
 
 
# Band-Index   64
   0.76301     -7.546440
   0.68239     -7.571850
   0.60176     -7.742020
   0.52114     -7.662363
   0.44052     -7.485301
   0.44052     -7.485301
   0.35990     -7.593066
   0.27928     -7.713196
   0.27928     -7.713196
   0.18619     -7.689336
   0.09309     -7.605937
   0.00000     -7.546440
 
 
# Band-Index   65
   0.00000     -7.546049
   0.09309     -7.521286
   0.18619     -7.583599
   0.27928     -7.606748
   0.27928     -7.606748
   0.35990     -7.539028
   0.44052     -7.368656
   0.44052     -7.368656
   0.52114     -7.588186
   0.60176     -7.503516
   0.68239     -7.545614
   0.76301     -7.546049
 
 
# Band-Index   66
   0.76301     -7.415937
   0.68239     -7.473923
   0.60176     -7.444543
   0.52114     -7.475159
   0.44052     -7.368185
   0.44052     -7.368185
   0.35990     -7.428925
   0.27928     -7.499966
   0.27928     -7.499966
   0.18619     -7.420913
   0.09309     -7.514592
   0.00000     -7.415937
 
 
# Band-Index   67
   0.00000     -7.333969
   0.09309     -7.433800
   0.18619     -7.362972
   0.27928     -7.386023
   0.27928     -7.386023
   0.35990     -7.417202
   0.44052     -7.330822
   0.44052     -7.330822
   0.52114     -7.328411
   0.60176     -7.419949
   0.68239     -7.399954
   0.76301     -7.333969
 
 
# Band-Index   68
   0.76301     -7.333837
   0.68239     -7.366922
   0.60176     -7.306927
   0.52114     -7.200639
   0.44052     -7.330404
   0.44052     -7.330404
   0.35990     -7.396475
   0.27928     -7.381538
   0.27928     -7.381538
   0.18619     -7.356229
   0.09309     -7.360720
   0.00000     -7.333837
 
 
# Band-Index   69
   0.00000     -7.333170
   0.09309     -7.337246
   0.18619     -7.241079
   0.27928     -7.315488
   0.27928     -7.315488
   0.35990     -7.288790
   0.44052     -7.264780
   0.44052     -7.264780
   0.52114     -7.185689
   0.60176     -7.234289
   0.68239     -7.347869
   0.76301     -7.333170
 
 
# Band-Index   70
   0.76301     -7.313429
   0.68239     -7.241226
   0.60176     -7.142245
   0.52114     -7.129681
   0.44052     -7.257394
   0.44052     -7.257394
   0.35990     -7.042919
   0.27928     -7.011379
   0.27928     -7.011379
   0.18619     -7.077006
   0.09309     -7.190421
   0.00000     -7.313429
 
 
# Band-Index   71
   0.00000     -7.313037
   0.09309     -7.050008
   0.18619     -6.959932
   0.27928     -6.940131
   0.27928     -6.940131
   0.35990     -7.014582
   0.44052     -7.118569
   0.44052     -7.118569
   0.52114     -7.020463
   0.60176     -6.876717
   0.68239     -7.074854
   0.76301     -7.313037
 
 
# Band-Index   72
   0.76301     -6.984314
   0.68239     -6.877174
   0.60176     -6.750100
   0.52114     -6.974585
   0.44052     -6.865192
   0.44052     -6.865192
   0.35990     -6.873461
   0.27928     -6.840412
   0.27928     -6.840412
   0.18619     -6.754930
   0.09309     -6.841691
   0.00000     -6.984314
 
 
# Band-Index   73
   0.00000     -6.416780
   0.09309     -6.655274
   0.18619     -6.699897
   0.27928     -6.781747
   0.27928     -6.781747
   0.35990     -6.862689
   0.44052     -6.862618
   0.44052     -6.862618
   0.52114     -6.739192
   0.60176     -6.707912
   0.68239     -6.599224
   0.76301     -6.416780
 
 
# Band-Index   74
   0.76301     -6.415605
   0.68239     -6.529243
   0.60176     -6.620595
   0.52114     -6.701073
   0.44052     -6.830807
   0.44052     -6.830807
   0.35990     -6.670297
   0.27928     -6.520859
   0.27928     -6.520859
   0.18619     -6.620188
   0.09309     -6.545537
   0.00000     -6.415605
 
 
# Band-Index   75
   0.00000     -6.253312
   0.09309     -6.284496
   0.18619     -6.490425
   0.27928     -6.452480
   0.27928     -6.452480
   0.35990     -6.595797
   0.44052     -6.829994
   0.44052     -6.829994
   0.52114     -6.607720
   0.60176     -6.522824
   0.68239     -6.268522
   0.76301     -6.253312
 
 
# Band-Index   76
   0.76301     -6.252608
